"YR","DOY","NDVI","EVI","bnd3.ref","bnd7.ref","bnd2.ref","bnd1.ref","QC","LSWI2"
2001,12,0.5414,0.1938,0.0205,0.0874,0.1348,0.0401,0,0.213321332133213
2001,17,0.5378,0.1716,0.0154,0.0853,0.1198,0.036,0,0.168210628961482
2001,35,0.5358,0.2262,0.0227,0.1102,0.1694,0.0512,0,0.21173104434907
2001,58,0.5635,0.2511,0.0207,0.105,0.1877,0.0524,0,0.282541851725316
2001,76,0.6452,0.3714,0.0248,0.1302,0.2727,0.0588,0,0.353685778108712
2001,88,0.6811,0.3851,0.0207,0.0988,0.2705,0.0513,0,0.464933658272407
2001,99,0.7125,0.448,0.0223,0.097,0.3158,0.053,0,0.530038759689922
2001,115,0.7779,0.5754,0.0244,0.1019,0.398,0.0497,0,0.592318463692739
2001,138,0.666,0.492,0.0387,0.1111,0.3816,0.0765,0,0.549015628171301
2001,145,0.6319,0.4522,0.0381,0.1048,0.3703,0.0835,0,0.558829720058935
2001,161,0.6474,0.474,0.0371,0.092,0.3878,0.083,0,0.616506877865778
2001,186,0.6168,0.4648,0.0425,0.1106,0.4051,0.096,0,0.571068450649602
2001,202,0.6363,0.4756,0.0381,0.1028,0.4072,0.0905,0,0.596862745098039
2001,220,0.6543,0.5245,0.0468,0.0939,0.4279,0.0894,0,0.640091989267919
2001,225,0.6357,0.4752,0.0415,0.1176,0.3929,0.0875,0,0.539275220372184
2001,248,0.6604,0.4947,0.039,0.0993,0.3946,0.0807,0,0.597894310589188
2001,271,0.5938,0.3444,0.0336,0.098,0.2598,0.0662,0,0.452207937395193
2001,282,0.4828,0.2551,0.0384,0.1115,0.2165,0.0755,0,0.320121951219512
2001,296,0.4622,0.2315,0.0388,0.1115,0.1958,0.072,0,0.274324764074195
2001,312,0.4225,0.1709,0.0298,0.087,0.1478,0.06,0,0.258943781942078
2001,331,NA,NA,NA,NA,NA,NA,1,NA
2001,344,0.4659,0.1382,0.0223,0.1096,0.1002,0.0365,0,-0.0448045757864633
2001,3,NA,NA,NA,NA,NA,NA,1,NA
2002,15,0.4021,0.1206,0.0188,0.1193,0.1032,0.044,0,-0.0723595505617978
2002,22,0.4126,0.1182,0.0211,0.1094,0.095,0.0395,0,-0.0704500978473582
2002,43,0.349,0.1263,0.0218,0.1426,0.1318,0.0636,0,-0.0393586005830904
2002,61,0.3807,0.1621,0.0293,0.1714,0.1621,0.0727,0,-0.0278860569715143
2002,77,0.4236,0.1965,0.0277,0.1397,0.1912,0.0774,0,0.155636143850106
2002,91,0.5433,0.252,0.029,0.1262,0.1859,0.055,0,0.191284844601089
2002,109,0.5981,0.3268,0.0274,0.1115,0.247,0.0621,0,0.377963737796374
2002,125,0.6991,0.5039,0.0349,0.1056,0.3654,0.0647,0,0.551592356687898
2002,130,0.7806,0.6069,0.0312,0.0985,0.4091,0.0504,0,0.611899133175729
2002,157,0.6953,0.5611,0.0399,0.1112,0.4446,0.0799,0,0.599856063332134
2002,164,0.5738,0.3803,0.0401,0.0752,0.3224,0.0873,0,0.621730382293763
2002,180,0.5209,0.3854,0.0536,0.1358,0.3851,0.1213,0,0.478594739873296
2002,194,0.4835,0.3488,0.0542,0.1051,0.3749,0.1305,0,0.562083333333333
2002,221,0.5111,0.3713,0.0494,0.1205,0.3901,0.1262,0,0.528006267136702
2002,237,0.5453,0.4007,0.0504,0.1027,0.3797,0.1117,0,0.574212271973466
2002,253,0.57,0.4053,0.0395,0.1001,0.3834,0.105,0,0.58593588417787
2002,269,0.6684,0.5249,0.04,0.0922,0.4312,0.0857,0,0.647688192586932
2002,276,0.6911,0.5058,0.033,0.083,0.3871,0.0707,0,0.646883641778345
2002,292,0.6358,0.4326,0.0472,0.088,0.2996,0.0667,0,0.545923632610939
2002,308,0.5392,0.264,0.0395,0.0823,0.1834,0.0549,0,0.380504328189688
2002,329,0.5371,0.1868,0.0188,0.0996,0.1312,0.0395,0,0.136915077989601
2002,338,NA,NA,NA,NA,NA,NA,1,NA
2002,356,0.5605,0.0994,0.0132,0.0576,0.0586,0.0165,0,0.00860585197934596
2003,1,NA,NA,NA,NA,NA,NA,1,NA
2003,28,0.4503,0.1147,0.0164,0.065,0.0855,0.0324,0,0.136212624584718
2003,35,0.6949,0.3258,0.0163,0.0769,0.2084,0.0375,0,0.460918331580792
2003,53,0.5527,0.2041,0.0169,0.0743,0.1458,0.042,0,0.324852339845525
2003,76,0.6938,0.4159,0.0188,0.0799,0.3026,0.0547,0,0.582222222222222
2003,87,0.669,0.425,0.0252,0.1073,0.3212,0.0637,0,0.499183197199533
2003,108,0.7397,0.4717,0.0201,0.058,0.3255,0.0487,0,0.697522816166884
2003,126,0.7188,0.479,0.028,0.061,0.3314,0.0542,0,0.689092762487258
2003,137,0.7189,0.5708,0.0351,0.0875,0.4379,0.0716,0,0.666920441568329
2003,151,0.7216,0.5743,0.0367,0.0882,0.4317,0.0698,0,0.660703981534911
2003,176,0.6931,0.5867,0.0462,0.1101,0.4663,0.0845,0,0.617973629424011
2003,183,0.6512,0.4983,0.0403,0.109,0.4129,0.0872,0,0.582295458900173
2003,199,0.7386,0.6467,0.0455,0.0936,0.4764,0.0716,0,0.671578947368421
2003,215,0.7053,0.578,0.0446,0.0999,0.4318,0.0746,0,0.624224186571375
2003,231,0.6519,0.5223,0.0425,0.1006,0.45,0.0948,0,0.634580457682528
2003,256,0.5863,0.4183,0.0429,0.1162,0.3659,0.0954,0,0.517942335615018
2003,263,0.598,0.4059,0.0393,0.1039,0.3359,0.0845,0,0.527512505684402
2003,279,0.5678,0.3903,0.0472,0.1089,0.3254,0.0897,0,0.498503338705964
2003,302,0.4895,0.1761,0.0384,0.0942,0.1135,0.0389,0,0.0929224843524314
2003,320,0.4867,0.1448,0.0319,0.0793,0.0924,0.0319,0,0.0762958648806057
2003,329,0.4607,0.1338,0.025,0.0904,0.0948,0.035,0,0.0237580993520518
2003,345,0.423,0.1191,0.023,0.1092,0.0915,0.0371,0,-0.0881913303437968
2003,361,0.4451,0.0769,0.0143,0.0667,0.0534,0.0205,0,-0.110741049125729
2004,3,0.3911,0.0731,0.0183,0.081,0.0553,0.0242,0,-0.188554658840792
2004,21,0.4353,0.1081,0.018,0.0911,0.0811,0.0319,0,-0.0580720092915215
2004,42,0.3747,0.0891,0.0208,0.0717,0.073,0.0332,0,0.00898410504492059
2004,62,0.5224,0.1491,0.0164,0.0605,0.1017,0.0319,0,0.254007398273736
2004,67,0.5538,0.1572,0.0142,0.0514,0.1038,0.0298,0,0.337628865979381
2004,83,0.4752,0.1963,0.0284,0.1247,0.1552,0.0552,0,0.10896748838871
2004,99,0.4638,0.2708,0.037,0.1268,0.2725,0.0998,0,0.3648885549712
2004,115,0.5551,0.2656,0.0276,0.0599,0.1982,0.0567,0,0.535838822161953
2004,129,0.5429,0.3319,0.0348,0.1118,0.293,0.0868,0,0.447628458498024
2004,159,0.6241,0.4343,0.0375,0.0911,0.3531,0.0817,0,0.589824403421882
2004,170,0.6112,0.4684,0.051,0.1147,0.3855,0.093,0,0.541383446621351
2004,186,0.6659,0.5208,0.0445,0.0935,0.4075,0.0817,0,0.626746506986028
2004,202,0.714,0.5733,0.041,0.0965,0.4244,0.0708,0,0.629487425609522
2004,218,0.7053,0.5465,0.0386,0.1127,0.4068,0.0703,0,0.566121270452358
2004,227,0.7191,0.5829,0.0403,0.0943,0.434,0.0709,0,0.6430058678781
2004,250,0.7142,0.5656,0.0441,0.1295,0.3977,0.0663,0,0.508725341426404
2004,266,0.6915,0.5288,0.0398,0.112,0.396,0.0722,0,0.559055118110236
2004,282,0.7018,0.5059,0.0352,0.1059,0.3636,0.0637,0,0.54888178913738
2004,298,0.6362,0.328,0.0232,0.0579,0.2299,0.0511,0,0.597637248088951
2004,305,0.6408,0.2768,0.0236,0.0833,0.1736,0.038,0,0.35149863760218
2004,325,0.5405,0.1886,0.0178,0.0808,0.1331,0.0397,0,0.24450677886863
2004,337,0.5128,0.1656,0.0157,0.0664,0.1208,0.0389,0,0.290598290598291
2004,358,0.4567,0.135,0.0196,0.108,0.1019,0.038,0,-0.0290614578370652
2005,12,0.4346,0.0926,0.0099,0.0382,0.0713,0.0281,0,0.302283105022831
2005,32,0.4784,0.1756,0.0229,0.096,0.1358,0.0479,0,0.171699741156169
2005,37,0.4866,0.1547,0.0192,0.0918,0.1141,0.0394,0,0.108305002428363
2005,53,0.5903,0.1854,0.0151,0.067,0.1188,0.0306,0,0.278794402583423
2005,69,0.64,0.2575,0.0161,0.0605,0.1672,0.0367,0,0.468599033816425
2005,90,0.6264,0.2423,0.0192,0.0731,0.1537,0.0353,0,0.355379188712522
2005,106,0.7266,0.4542,0.0242,0.1013,0.3051,0.0483,0,0.501476377952756
2005,122,0.6943,0.4375,0.0257,0.0687,0.3104,0.056,0,0.637562648377737
2005,140,0.6569,0.3937,0.0283,0.0872,0.2821,0.0584,0,0.527755212564311
2005,145,0.7096,0.4658,0.0299,0.0689,0.3185,0.0541,0,0.644295302013423
2005,172,0.6405,0.4716,0.0455,0.1245,0.361,0.0791,0,0.487126673532441
2005,188,0.688,0.52,0.0436,0.1125,0.3718,0.0687,0,0.535411934751187
2005,204,0.7383,0.5843,0.0386,0.104,0.4105,0.0618,0,0.595724003887269
2005,220,0.7554,0.6346,0.0426,0.1052,0.4378,0.061,0,0.612523020257827
2005,236,0.6742,0.5153,0.0419,0.1137,0.3942,0.0767,0,0.552274069698759
2005,252,0.5867,0.4295,0.0472,0.1047,0.3709,0.0966,0,0.559714045416316
2005,268,0.6622,0.4954,0.0454,0.1365,0.3661,0.0744,0,0.456824512534819
2005,284,0.6827,0.4798,0.035,0.0928,0.3517,0.0663,0,0.582452193475816
2005,300,0.5944,0.3225,0.0358,0.0901,0.2249,0.0572,0,0.427936507936508
2005,309,0.5623,0.2737,0.029,0.0909,0.201,0.0563,0,0.377183967112025
2005,330,0.4946,0.219,0.0243,0.086,0.1807,0.0611,0,0.355080614923135
2005,348,0.4163,0.1377,0.0204,0.0718,0.1177,0.0485,0,0.24221635883905
2005,360,NA,NA,NA,NA,NA,NA,3,NA
2006,15,0.4466,0.1251,0.0149,0.0691,0.0983,0.0376,0,0.174432497013142
2006,22,0.3843,0.0955,0.0154,0.0624,0.0814,0.0362,0,0.132127955493741
2006,47,0.4312,0.1482,0.0215,0.0972,0.1238,0.0492,0,0.120361990950226
2006,52,0.4496,0.1485,0.0206,0.095,0.118,0.0448,0,0.107981220657277
2006,77,0.5108,0.1788,0.0159,0.0685,0.1353,0.0438,0,0.327772325809617
2006,85,NA,NA,NA,NA,NA,NA,3,NA
2006,111,0.6326,0.298,0.0177,0.0769,0.2089,0.047,0,0.46186144156753
2006,122,0.6908,0.4419,0.0254,0.0901,0.3205,0.0586,0,0.561130053580127
2006,134,0.708,0.4601,0.0229,0.0832,0.3341,0.0571,0,0.601246105919003
2006,150,0.7478,0.5294,0.0276,0.0806,0.3646,0.0526,0,0.637915543575921
2006,168,0.6684,0.4843,0.038,0.1066,0.3679,0.0731,0,0.550684931506849
2006,184,0.6708,0.5276,0.043,0.116,0.4177,0.0823,0,0.565298857035788
2006,202,0.6148,0.5174,0.0598,0.122,0.4419,0.1054,0,0.567299166518886
2006,209,0.6222,0.5119,0.0513,0.1388,0.4561,0.1062,0,0.53336695242898
2006,239,0.6164,0.4503,0.0363,0.0885,0.402,0.0954,0,0.63914373088685
2006,255,0.6951,0.5406,0.0453,0.1066,0.3853,0.0693,0,0.566578572880667
2006,271,0.6685,0.481,0.04,0.0659,0.3549,0.0705,0,0.686787072243346
2006,287,0.6497,0.3635,0.038,0.066,0.2275,0.0483,0,0.550255536626917
2006,294,0.6204,0.3409,0.0343,0.0948,0.2314,0.0542,0,0.418761496014715
2006,319,0.5802,0.2062,0.0174,0.0496,0.1378,0.0366,0,0.470651013874066
2006,335,0.5804,0.1831,0.015,0.0789,0.1194,0.0317,0,0.204236006051437
2006,351,0.474,0.1334,0.0168,0.0977,0.0981,0.035,0,0.0020429009193054
2006,353,0.4537,0.157,0.0214,0.1093,0.1256,0.0472,0,0.0693912303107706
2007,11,0.4812,0.1672,0.02,0.1162,0.1285,0.045,0,0.0502656313853698
2007,18,0.4798,0.1673,0.0238,0.1116,0.1249,0.0439,0,0.0562367864693446
2007,45,0.4329,0.1294,0.0204,0.0944,0.1021,0.0404,0,0.0391857506361324
2007,61,0.5674,0.2358,0.0218,0.1062,0.1667,0.046,0,0.221692927812386
2007,80,0.4942,0.1846,0.0208,0.0675,0.1424,0.0482,0,0.356836588851834
2007,96,0.6759,0.3989,0.0255,0.0857,0.2793,0.054,0,0.53041095890411
2007,98,0.5883,0.3467,0.031,0.1062,0.2755,0.0714,0,0.443542048729369
2007,114,0.6236,0.3474,0.0261,0.0866,0.2563,0.0594,0,0.494896471274424
2007,144,0.6062,0.4072,0.0444,0.1248,0.3084,0.0756,0,0.42382271468144
2007,146,0.5731,0.3919,0.0424,0.1338,0.3376,0.0916,0,0.432329232074671
2007,167,0.6454,0.4037,0.0368,0.0865,0.2822,0.0608,0,0.530783835096284
2007,178,0.5733,0.3698,0.0368,0.0837,0.3149,0.0854,0,0.580030105368791
2007,194,0.6011,0.4058,0.0414,0.1113,0.3236,0.0806,0,0.488158197286733
2007,210,0.6592,0.4666,0.0408,0.102,0.3428,0.0704,0,0.54136690647482
2007,226,0.6943,0.5109,0.0349,0.1067,0.383,0.0691,0,0.564222993669594
2007,242,0.7175,0.5361,0.0344,0.0884,0.3886,0.0639,0,0.629350104821803
2007,258,0.7677,0.5926,0.0305,0.086,0.4111,0.054,0,0.653993160329913
2007,281,0.7793,0.5759,0.0284,0.0685,0.3823,0.0474,0,0.696095829636202
2007,297,0.7312,0.4368,0.0254,0.071,0.2789,0.0433,0,0.594169762789368
2007,306,0.6475,0.3426,0.0221,0.0704,0.2417,0.0517,0,0.548862544056392
2007,324,0.6355,0.3055,0.0185,0.0993,0.2141,0.0477,0,0.366305041480536
2007,345,0.5774,0.2389,0.0177,0.0889,0.1717,0.046,0,0.317728319263239
2007,354,0.5469,0.2156,0.0199,0.0883,0.1564,0.0458,0,0.278299959133633
2008,16,0.3825,0.1339,0.0229,0.0903,0.1245,0.0556,0,0.159217877094972
2008,30,0.3933,0.1202,0.0176,0.0681,0.1068,0.0465,0,0.221269296740995
2008,46,0.4389,0.1522,0.0221,0.1242,0.1249,0.0487,0,0.00281011641910882
2008,64,0.4708,0.2059,0.0287,0.1317,0.1701,0.0612,0,0.127236580516899
2008,69,0.4674,0.186,0.0223,0.1056,0.1546,0.0561,0,0.188316679477325
2008,94,0.5869,0.3359,0.0284,0.0962,0.2674,0.0696,0,0.470847084708471
2008,112,0.6412,0.4331,0.0348,0.0884,0.3362,0.0735,0,0.583608101742817
2008,126,0.6774,0.48,0.0364,0.1025,0.3542,0.0681,0,0.5511276549157
2008,142,0.6731,0.4726,0.0356,0.0849,0.3517,0.0687,0,0.61108566193312
2008,149,0.7117,0.5188,0.0339,0.0669,0.3735,0.0629,0,0.696185286103542
2008,165,0.6818,0.5475,0.0463,0.0851,0.4165,0.0788,0,0.660685805422648
2008,181,0.6879,0.5647,0.0497,0.0862,0.4182,0.0773,0,0.658207771609834
2008,197,0.7314,0.6029,0.0433,0.0772,0.4294,0.0666,0,0.695223055665219
